Word,Sentence,Correct Sense,Definition,
Declaration,The customs declaration was submitted.,Document,Official form,
Decode,The agent tried to decode the message.,Interpret,Translate encoded information,
Decode,She learned to decode ancient symbols.,Understand,Convert into readable form,
Decree,The king issued a decree.,Order,Official command.,
Decree,The court decree was enforced.,Judgment,Legal ruling.,
Decree,The king issued a decree.,Order,A formal official command.,
Decree,The decree changed the law.,Ruling,An authoritative decision.,
Decrement,Each decrement reduced the value.,Reduction,Decrease in amount,
Decrement,The program applies a decrement.,Computing Change,Stepwise reduction,
Defect,The product has a defect.,Flaw,Imperfection,
Defect,He decided to defect to another country.,Action,Abandon allegiance,
Defer,He chose to defer the decision.,Delay,Postpone action,
Defer,Students may defer enrollment.,Action,Delay participation,
Deflect,The shield deflects attacks.,Redirect,Turn away from path,
Deflect,He tried to deflect the question.,Avoid,Divert attention,
Deformation,The metal shows deformation under pressure.,Physical Change,Alteration of shape,
Deformation,Geological deformation shaped the mountain.,Structure Change,Structural distortion,
Defrost,She will defrost the chicken.,Thaw,Remove ice,
Defrost,The fridge has an automatic defrost cycle.,Function,Ice removal process,
Degradation,Environmental degradation is serious.,Decline,Deterioration of condition,
Degradation,The material shows chemical degradation.,Breakdown,Weakening process,
Degree,The temperature reached a high degree.,Measurement,Unit of heat,
Degree,She earned a university degree.,Qualification,Academic award,
Delegate,The delegate attended the summit.,Representative,Person acting for others.,
Delegate,Managers delegate responsibility.,Assign,Transfer authority.,
Delimiter,A comma is a delimiter in text.,Separator,Symbol dividing elements,
Delimiter,The system uses a delimiter for parsing.,Marker,Data separation symbol,
Deliver,The courier will deliver the package.,Transport,Bring to destination,
Deliver,He delivered a speech.,Action,Give a presentation,
Delta,The river formed a delta.,Landform,A triangular deposit at a river mouth.,
Delta,The aircraft flew over the delta region.,Geographic Area,A river branching zone.,
Deluge,The region faced a deluge of rain.,Flood,Heavy rainfall,
Deluge,He received a deluge of complaints.,Overload,Large amount,
Demand,There is high demand for goods.,Need,Strong requirement,
Demand,She demanded an apology.,Request,Forceful asking,
Demandant,The demandant filed a legal claim.,Claimant,Person making demand,
Demandant,The court recognized the demandant’s case.,Petitioner,Legal requester,
Demarcation,The fence marks a demarcation line.,Boundary,Dividing line,
Demarcation,There is a clear demarcation of roles.,Separation,Distinction,
Demolition,The demolition of the building began.,Destruction,Tearing down structure,
Demolition,Controlled demolition was planned.,Process,Intentional destruction,
Denim,He wore denim jeans.,Fabric,A sturdy cotton material.,
Denim,The designer released a denim collection.,Clothing Material,Fabric used for clothing.,
Denominator,The denominator is below the fraction line.,Math Term,Bottom number in fraction,
Denominator,They share a common denominator in views.,Common Factor,Shared element,
Denotation,The word’s denotation is literal meaning.,Meaning,Direct definition,
Denotation,Linguistics studies denotation and connotation.,Semantics,Literal sense,
Density,The population density is high.,Concentration,Amount per area,
Density,The liquid has high density.,Physical Property,Mass per volume,
Dependency,The system has a dependency on input.,Reliance,Need for support,
Dependency,Software dependency must be installed.,Requirement,External module needed,
Deployment,The software deployment succeeded.,Software Release,Installation into production.,
Deployment,Military deployment increased.,Troop Placement,Strategic positioning.,
Deposit,Make a deposit at the bank.,Money Placement,Money added to an account.,
Deposit,Mineral deposits were discovered.,Natural Accumulation,A concentration of materials.,
Deposit,He made a bank deposit.,Money Action,Placing money into account,
Deposit,Minerals form a sediment deposit.,Accumulation,Natural buildup,
Depositary,The bank acts as a depositary.,Custodian,Holder of assets,
Depositary,The depositary stored important documents.,Institution,Safekeeping entity,
Depot,The train stopped at the depot.,Station,Transportation center.,
Depot,Supplies were stored in the depot.,Warehouse,Storage facility.,
Depot,The train stopped at the depot.,Station,A storage or transport facility.,
Depot,The depot stored goods for distribution.,Warehouse,A place for storing items.,
Deprivation,Sleep deprivation affects health.,Lack,Absence of necessity,
Deprivation,Food deprivation causes weakness.,Condition,Deprivation state,
Derivative,Futures are derivative instruments.,Financial Product,Value based on another asset.,
Derivative,The derivative of x² is 2x.,Calculus Concept,Rate of change function.,
Derivative,The function’s derivative was calculated.,Math Concept,Rate of change,
Derivative,The design is derivative of another.,Imitation,Something derived,
Descent,The plane began its descent.,Downward Motion,Movement down,
Descent,He is of noble descent.,Lineage,Ancestry,
Description,The description was detailed.,Explanation,Verbal account,
Description,The system requires object description.,Representation,Defining characteristics,
Descriptor,"""Large"" is a descriptor.",Descriptive Term,Word providing detail.,
Descriptor,The dataset includes descriptors.,Metadata Element,Information describing data.,
Desert,The desert is extremely dry.,Landform,Arid region,
Desert,He chose to desert the army.,Action,Abandon duty,
Design,The design of the building is modern.,Plan,Visual plan or layout,
Design,She designed a dress.,Action,Create plan,
Designator,The code acts as a designator.,Label,Identifier,
Designator,Military designator marked targets.,Tool,Identification marker,
Detail,The report includes every detail.,Information,Small piece of data,
Detail,He was detailed to the mission.,Assignment,Assigned duty,
Detention,The student received detention.,Punishment,School disciplinary action,
Detention,Immigration detention was ordered.,Custody,Holding of person,
Determinant,The determinant of the matrix is zero.,Math Value,Scalar value in matrix,
Determinant,Income is a key determinant of health.,Factor,Influencing element,
Development,Urban development is expanding.,Growth,Process of building,
Development,Child development is studied.,Progression,Growth process,
Deviation,There is a deviation from plan.,Divergence,Departure from norm,
Deviation,Statistical deviation is measured.,Variation,Difference from average,
Device,The device measures temperature.,Tool,Mechanical/electronic instrument,
Device,The poem uses a literary device.,Technique,Stylistic method,
Device,The device measures temperature.,Tool,Mechanical/electronic instrument,
Device,Literary device enhances writing.,Technique,Stylistic method,
Diagram,The diagram explains the process.,Illustration,Visual representation,
Diagram,She diagrammed the system.,Action,Draw structured outline,
Diagram,The diagram shows the system.,Illustration,Visual representation,
Diagram,He diagrammed the process.,Action,Draw structured layout,
Dial,He turned the dial on the radio.,Control Knob,A rotating selector.,
Dial,The clock has a round dial.,Display Face,The surface showing numbers.,
Dialogue,The dialogue in the film was natural.,Speech,Conversation,
Dialogue,The countries opened diplomatic dialogue.,Discussion,Formal communication,
Dialogue,The dialogue was realistic.,Conversation,Spoken exchange,
Dialogue,Diplomatic dialogue continues.,Discussion,Formal negotiation,
Diameter,The diameter of the circle is large.,Measurement,Straight line across circle,
Diameter,Engineers measured pipe diameter.,Dimension,Width across center,
Diamond,The scientist studied the diamond structure.,Mineral,A naturally occurring solid substance.,
Diamond,The baseball team played on the diamond.,Sports Area,A marked area where baseball is played.,
Diamond,❌ excluded (previous dataset),,#VALUE!,
Diary,She wrote in her diary every night.,Journal,A personal record book.,
Diary,The diary contained her thoughts.,Notebook,A written daily record.,
Dictionary,She opened a dictionary.,Reference Book,Word list resource,
Dictionary,The dictionary stores definitions.,Database,Lexical collection,
Diesel,The truck runs on diesel.,Fuel,A type of engine fuel.,
Diesel,The diesel engine started loudly.,Engine Type,A machine powered by diesel fuel.,
Difference,The difference is clear.,Distinction,Lack of similarity,
Difference,Find the difference between values.,Math Result,Subtraction outcome,
Digest,Read the news digest.,Summary,Condensed information.,
Digest,Humans digest food.,Process Food,Break down nutrients.,
Digit,The number has five digits.,Numeric Unit,Symbol in number system,
Digit,He injured a digit on his hand.,Body Part,Finger or toe,
Dilemma,She faced a moral dilemma.,Problem,Difficult choice,
Dilemma,The character’s dilemma drove the plot.,Conflict,Decision conflict,
Dimension,The box has three dimensions.,Measurement,Measurable extent,
Dimension,The issue has a social dimension.,Aspect,Feature of something,
Diner,They ate at a small diner.,Restaurant,A casual eating place.,
Diner,The diner was crowded at lunch.,Establishment,A food service location.,
